match_id,name,slug,gender,user_count,residence,birthplace,height,weight,plays,turned_pro,current_prize,total_prize,player_id,current_rank,name_code,country,full_name
11686281,Paolini J.,paolini-jasmine,F,5233,,"Castelnuovo di Garfagnana, Italy",1.63,,right-handed,2012,702123,2207834,69208,30,PAO,Italy,"Paolini, Jasmine"
11688311,Smith K.,smith-keegan,M,330,"San Diego, CA","Wilmington, NC",1.98,93,right-handed,,14237,79745,232059,591,SMI,USA,"Smith, Keegan"
11696863,Glinka D.,glinka-daniil,M,250,,Tallinn,1.88,,left-handed,,12265,34997,210033,499,GLI,Estonia,"Glinka, Daniil"
11697105,Linette M.,linette-magda,F,10931,"Poznan, Poland","Poznan, Poland",1.71,59,right-handed,2009,1538431,4998417,42289,24,LIN,Poland,"Linette, Magda"
11697107,Kenin S.,kenin-sofia,F,5194,"Pembroke Pines, FL, USA","Moscow, Russia",1.7,55,right-handed,2017,709965,7435794,91960,33,KEN,USA,"Kenin, Sofia"
11697108,Haddad Maia B.,haddad-maia-beatriz,F,15466,"Rio de Janeiro, Brazil","Sao Paulo, Brazil",1.85,78,left-handed,2012,2382351,4452564,59702,11,HAD,Brazil,"Haddad Maia, Beatriz"
11697110,Rybakina E.,rybakina-elena,F,18975,,"Moscow, Russia",1.84,,right-handed,2016,4577864,9878663,186312,4,RYB,Kazakhstan,"Rybakina, Elena"
11697112,Nosková L.,noskova-linda,F,2930,,"Vsetin, Czech Republic",1.79,,right-handed,,551923,780924,274049,41,NOS,Czech Republic,"Noskova, Linda"
11697113,Wang Xiy.,wang-xiyu,F,2448,,"Taixing, Jiang Su Province, China",1.82,,left-handed,2018,570334,1370247,223148,69,WAN,China,"Wang, Xiyu"
11697117,Samsonova L.,samsonova-liudmila,F,4833,,"Olenegorsk, Russia",1.82,,right-handed,,1873572,3646705,128584,16,SAM,Russia,"Samsonova, Liudmila"
11697118,Rus A.,rus-arantxa,F,2413,"Monster, The Netherlands","Delft, The Netherlands",1.8,65,left-handed,2007,367086,2643194,19847,52,RUS,Netherlands,"Rus, Arantxa"
11697119,Zvonareva V.,zvonareva-vera,F,1282,"Moscow, Russia","Moscow, Russia",1.72,,right-handed,2000,728874,13701594,18298,270,ZVO,Russia,"Zvonareva, Vera"
11697120,Kasatkina D.,kasatkina-daria,F,7463,"Togliatty, Russia","Togliatty, Russia",1.7,62,right-handed,2014,1415658,8977562,132370,18,KAS,Russia,"Kasatkina, Daria"
11697121,Zhu L.,zhu-lin,F,2718,"Beijing, China","Wuxi, China",1.73,64,right-handed,2012,901751,2458055,45584,37,ZHU,China,"Zhu, Lin"
11697122,Gauff C.,gauff-cori,F,22431,"Delray Beach, Fl. USA","Delray Beach, Fl. USA",1.75,,right-handed,2018,5558018,10183094,264983,3,GAU,USA,"Gauff, Cori"
11697123,Kalinina A.,kalinina-anhelina,F,3565,,"Nova Kakhovka, Ukraine",1.8,,right-handed,2013,956712,2481760,90664,27,KAL,Ukraine,"Kalinina, Anhelina"
11697124,Siniaková K.,siniakova-katerina,F,3533,"Hradec Kralove, Czech Republic","Hradec Kralove, Czech Republic",1.74,69,right-handed,2013,1003717,8679142,72376,45,SIN,Czech Republic,"Siniakova, Katerina"
11697126,Świątek I.,swiatek-iga,F,54206,,"Warsaw, Poland",1.76,,right-handed,2016,8214738,20493969,228272,1,SWI,Poland,"Swiatek, Iga"
11697152,Sleeth L.,sleeth-layne,F,165,,,,,,,8295,26563,213096,743,SLE,Canada,"Sleeth, Layne"
11697216,Stewart H.,stewart-hamish,M,163,,,,,,,9026,14328,245307,651,STE,United Kingdom,"Stewart, Hamish"
11697223,Urrutia M.,urrutia-maria-florencia,F,48,,,,,,,2505,3639,207107,983,URR,Argentina,"Urrutia, Maria Florencia"
11697237,Ambrogi L.,ambrogi-luciano-emanuel,M,303,,Rosario,1.88,,,,13916,23195,333081,458,AMB,Argentina,"Ambrogi, Luciano Emanuel"
11697262,Sierra S.,sierra-solana,F,1081,,,,,right-handed,,29884,50144,298913,182,SIE,Argentina,"Sierra, Solana"
11697278,Angele J.,angele-jaimee-floyd,M,331,France,Clichy,2.06,93,right-handed,,11962,55364,206574,619,ANG,France,"Angele, Jaimee Floyd"
11697304,Guillen Meza A.,guillen-meza-alvaro,M,433,,Guayaquil,1.75,,,,22169,38798,269909,312,GUI,Ecuador,"Guillen Meza, Alvaro"
11697306,Draxl L.,draxl-liam,M,584,Canada,Newmarket,1.85,77,right-handed,,27645,75988,223513,302,DRA,Canada,"Draxl, Liam"
11697309,Janicijevic S.,janicijevic-selena,F,599,,"Nogent-sur-Marne, France",1.83,,right-handed,,154490,319552,299619,287,JAN,France,"Janicijevic, Selena"
11697316,Kessler M.,kessler-mccartney,F,435,,,,,,,65538,72258,233214,224,KES,USA,"Kessler, McCartney"
