match_id,period,statistic_category_name,statistic_name,home_stat,away_stat,compare_code,statistic_type,value_type,home_value,away_value,home_total,away_total
11674110,2ND,miscellaneous,tiebreaks,0,0,3,positive,event,0,0,,
11674111,ALL,service,aces,4,6,2,positive,event,4,6,,
11674111,ALL,service,double_faults,3,3,3,negative,event,3,3,,
11674111,ALL,service,first_serve,24/49 (49%),31/53 (58%),2,positive,team,24,31,49.0,53.0
11674111,ALL,service,second_serve,22/25 (88%),19/22 (86%),1,positive,team,22,19,25.0,22.0
11674111,ALL,service,first_serve_points,17/24 (71%),24/31 (77%),2,positive,team,17,24,24.0,31.0
11674111,ALL,service,second_serve_points,9/25 (36%),11/22 (50%),2,positive,team,9,11,25.0,22.0
11674111,ALL,service,service_games_played,9,9,3,positive,event,9,9,,
11674111,ALL,service,break_points_saved,0/4 (0%),1/2 (50%),2,positive,team,0,1,4.0,2.0
11674111,ALL,points,total,44,58,2,positive,event,44,58,,
11674111,ALL,points,service_points_won,26,35,2,positive,event,26,35,,
11674111,ALL,points,receiver_points_won,18,23,2,positive,event,18,23,,
11674111,ALL,points,max_points_in_a_row,5,8,2,positive,event,5,8,,
11674111,ALL,games,total_won,6,12,2,positive,event,6,12,,
11674111,ALL,games,service_games_won,5,8,2,positive,event,5,8,,
11674111,ALL,games,max_games_in_a_row,2,5,2,positive,event,2,5,,
11674111,ALL,return,first_serve_return_points,7/31 (22%),7/24 (29%),2,positive,team,7,7,31.0,24.0
11674111,ALL,return,second_serve_return_points,11/22 (50%),16/25 (64%),2,positive,team,11,16,22.0,25.0
11674111,ALL,return,return_games_played,9,9,3,positive,event,9,9,,
11674111,ALL,return,break_points_converted,1,4,2,positive,event,1,4,,
11674111,ALL,miscellaneous,tiebreaks,0,0,3,positive,event,0,0,,
11674111,1ST,service,aces,4,3,1,positive,event,4,3,,
11674111,1ST,service,double_faults,2,2,3,negative,event,2,2,,
11674111,1ST,service,first_serve,16/27 (59%),18/31 (58%),1,positive,team,16,18,27.0,31.0
11674111,1ST,service,second_serve,9/11 (82%),11/13 (85%),2,positive,team,9,11,11.0,13.0
11674111,1ST,service,first_serve_points,11/16 (69%),14/18 (78%),2,positive,team,11,14,16.0,18.0
11674111,1ST,service,second_serve_points,4/11 (36%),5/13 (38%),2,positive,team,4,5,11.0,13.0
11674111,1ST,service,service_games_played,5,5,3,positive,event,5,5,,
11674111,1ST,service,break_points_saved,0/2 (0%),1/2 (50%),2,positive,team,0,1,2.0,2.0
11674111,1ST,points,service_points_won,15,19,2,positive,event,15,19,,
11674111,1ST,points,receiver_points_won,12,12,3,positive,event,12,12,,
11674111,1ST,points,max_points_in_a_row,5,6,2,positive,event,5,6,,
11674111,1ST,games,max_games_in_a_row,2,4,2,positive,event,2,4,,
11674111,1ST,return,first_serve_return_points,4/18 (22%),5/16 (31%),2,positive,team,4,5,18.0,16.0
11674111,1ST,return,second_serve_return_points,8/13 (61%),7/11 (63%),2,positive,team,8,7,13.0,11.0
11674111,1ST,return,return_games_played,5,5,3,positive,event,5,5,,
11674111,1ST,return,break_points_converted,1,2,2,positive,event,1,2,,
11674111,1ST,miscellaneous,tiebreaks,0,0,3,positive,event,0,0,,
11674111,2ND,service,aces,0,3,2,positive,event,0,3,,
11674111,2ND,service,double_faults,1,1,3,negative,event,1,1,,
11674111,2ND,service,first_serve,8/22 (36%),13/22 (59%),2,positive,team,8,13,22.0,22.0
11674111,2ND,service,second_serve,13/14 (93%),8/9 (89%),1,positive,team,13,8,14.0,9.0
11674111,2ND,service,first_serve_points,6/8 (75%),10/13 (77%),2,positive,team,6,10,8.0,13.0
11674111,2ND,service,second_serve_points,5/14 (36%),6/9 (67%),2,positive,team,5,6,14.0,9.0
11674111,2ND,service,service_games_played,4,4,3,positive,event,4,4,,
11674111,2ND,service,break_points_saved,0/2 (0%),0/0 (0%),3,positive,team,0,0,2.0,0.0
11674111,2ND,points,service_points_won,11,16,2,positive,event,11,16,,
11674111,2ND,points,receiver_points_won,6,11,2,positive,event,6,11,,
11674111,2ND,points,max_points_in_a_row,4,8,2,positive,event,4,8,,
11674111,2ND,games,max_games_in_a_row,1,5,2,positive,event,1,5,,
11674111,2ND,return,first_serve_return_points,3/13 (23%),2/8 (25%),2,positive,team,3,2,13.0,8.0
11674111,2ND,return,second_serve_return_points,3/9 (33%),9/14 (64%),2,positive,team,3,9,9.0,14.0
11674111,2ND,return,return_games_played,4,4,3,positive,event,4,4,,
11674111,2ND,return,break_points_converted,0,2,2,positive,event,0,2,,
11674111,2ND,miscellaneous,tiebreaks,0,0,3,positive,event,0,0,,
11674112,ALL,service,aces,3,3,3,positive,event,3,3,,
11674112,ALL,service,double_faults,5,1,1,negative,event,5,1,,
11674112,ALL,service,first_serve,38/71 (54%),36/62 (58%),2,positive,team,38,36,71.0,62.0
11674112,ALL,service,second_serve,28/33 (85%),25/26 (96%),2,positive,team,28,25,33.0,26.0
11674112,ALL,service,first_serve_points,28/38 (74%),22/36 (61%),1,positive,team,28,22,38.0,36.0
