match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp
11699252,,,,,,
11699253,,,,,,
11699254,,,,,,
11699255,,,,,,
11699256,,,,,,
11699257,,,,,,
11699258,,,,,,
11699259,,,,,,
11699260,,,,,,
11699261,,,,,,
11699262,,,,,,
11699263,,,,,,
11699264,,,,,,
11699265,,,,,,
11699266,,,,,,
11699267,,,,,,
11699268,,,,,,
11699269,,,,,,
11699270,2606,1402,,,,1696153792
11699271,3371,3121,,,,1696167288
11699272,,,,,,
11699296,1871,2095,2978,,,1696173357
11699334,3122,4112,,,,1696258255
11699341,1800,3063,,,,1696161809
11699342,3247,2469,2851,,,1696158344
11699343,,,,,,1696149708
11699344,2335,1720,,,,1696164309
11699345,2200,1752,,,,1696157294
11699346,1702,2100,,,,1696149649
11699347,3915,3460,2830,,,1696183662
11699348,1721,3457,,,,1696171929
11699349,3511,2460,,,,1696185952
11699350,3580,2758,,,,1696170309
11699351,2161,3635,2909,,,1696179782
11699352,1545,2241,,,,1696167008
11699361,1776,2256,,,,1696185222
11699386,2752,2049,,,,1696193364
11699387,2213,2903,,,,1696168069
11699388,1150,1320,,,,1696167049
11699389,2224,3379,2964,,,1696171528
11699390,2059,3121,,,,1696188291
11699391,1497,3419,2276,,,1696176666
11699392,3300,2711,,,,1696182441
11699393,1919,3560,,,,1696171467
11699394,,,,,,1696175326
11699395,2040,3070,,,,1696181882
11699396,1960,2354,,,,1696178188
11699397,1741,3220,3240,,,1696190952
11699398,2899,2830,4141,,,1696187071
11699416,,,,,,
11699417,,,,,,
11699418,,,,,,
11699419,,,,,,
11699420,,,,,,
11699421,,,,,,
11699422,,,,,,
11699423,,,,,,
11699424,,,,,,
11699425,,,,,,
11699426,,,,,,
11699427,,,,,,
11699428,,,,,,
11699429,,,,,,
11699430,,,,,,
11699431,,,,,,
11699432,,,,,,
11699433,,,,,,
11699434,,,,,,
11699435,,,,,,
11699436,,,,,,
11699437,,,,,,
11699438,,,,,,
11699439,,,,,,
11699440,,,,,,
11699441,,,,,,
11699442,,,,,,
11699443,,,,,,
11699444,,,,,,
11699445,,,,,,
11699446,,,,,,
11699447,,,,,,
11699448,,,,,,
11699449,,,,,,
11699450,,,,,,
11699451,,,,,,
11699452,,,,,,
11699453,,,,,,
11699454,,,,,,
11699455,,,,,,
11699456,,,,,,
11699457,,,,,,
11699458,,,,,,
11699459,,,,,,
11699460,,,,,,
11699461,,,,,,
11699462,,,,,,
11699463,,,,,,
11699464,,,,,,
11699465,,,,,,
11699466,,,,,,
11699809,2484,3290,2580,,,1696186232
11699812,2660,3098,,,,1696192392
11699813,1691,2708,,,,1696182163
11699814,1935,2511,,,,1696182401
11699815,1861,1920,,,,1696187712
11699816,2080,2536,,,,1696194272
11699817,1837,1899,1901,,,1696200307
11699818,2581,2740,,,,1696188572
11699819,2379,1760,2019,,,1696207188
11699820,2337,2419,5180,,,1696200867
11699821,2161,2240,,,,1696192872
11699822,,,,,,
11700010,,,,,,
11700011,,,,,,
11700012,,,,,,
11700013,,,,,,
11700014,,,,,,
11700015,,,,,,
11700016,,,,,,
11700017,,,,,,
11700018,,,,,,
11700019,,,,,,
11700020,,,,,,
11700021,,,,,,
11700022,,,,,,
11700023,,,,,,
11700024,,,,,,
11700025,,,,,,
11700026,,,,,,
11700027,,,,,,
11700028,,,,,,
11700029,,,,,,
11700030,,,,,,
11700031,,,,,,
11700032,,,,,,
11700033,,,,,,
11700034,,,,,,
11700035,,,,,,
11700036,,,,,,
11700037,,,,,,
11700038,,,,,,
11700039,,,,,,
11700040,,,,,,
11700041,,,,,,
11700066,,,,,,
11701137,,,,,,
11701138,,,,,,
11701139,,,,,,
11701140,,,,,,
11701141,,,,,,
11701142,,,,,,
11701143,,,,,,
11701144,,,,,,
11701145,,,,,,
11701146,,,,,,
11701147,,,,,,
11701148,,,,,,
11701149,,,,,,
11701150,,,,,,
11701151,,,,,,
11701152,,,,,,
11701154,,,,,,
11701155,1998,2839,,,,1696152028
11701233,,,,,,
11701265,,,,,,
11701266,,,,,,
11701267,,,,,,
11701268,,,,,,
11701269,,,,,,
11701270,,,,,,
11701271,,,,,,
11701272,,,,,,
11701273,,,,,,
11701274,,,,,,
11701275,,,,,,
11701276,,,,,,
11701277,,,,,,
11701278,,,,,,
11701279,,,,,,
11701280,,,,,,
11701281,,,,,,
11701298,2276,1666,,,,1696239943
11701327,2379,1703,3107,,,1696223950
11701328,3139,4219,3037,,,1696235066
11701329,1716,1981,,,,1696237323
11701330,1828,2816,3509,,,1696248511
11701331,2055,1695,,,,1696241002
11701333,4332,2511,3786,,,1696238210
11701334,2974,2759,4761,,,1696225686
11701335,1584,4616,,,,1696221347
11701336,2372,2899,2040,,,1696225506
11701337,3015,2527,,,,1696246462
11701338,2265,1872,2858,,,1696249064
11701339,2720,3308,1923,,,1696234555
11701340,3220,3020,,,,1696229427
11701341,3310,2340,,,,1696223067
11701342,4500,2320,3411,,,1696233427
11701343,2341,2715,,,,1696235668
11701344,2972,2987,,,,1696240099
11701345,2789,2140,,,,1696241776
11701346,1967,4000,,,,1696245934
11701347,2665,1685,,,,1696240352
11701348,1758,3599,2581,,,1696248208
11701349,3759,1118,,,,1696235826
11701350,5180,3382,,,,1696228567
11701351,2477,3572,3080,,,1696249136
11701352,1916,2629,,,,1696239743
11701385,,,,,,
11701386,3690,4181,,,,1696239737
11701444,2112,2719,,,,1696239880
11701471,2946,3620,2690,,,1696244156
11701472,4103,1471,1720,,,1696243262
11701473,1550,2880,3831,,,1696241857
11701486,2495,3212,,,,1696236561
11701487,3107,3602,,,,1696244172
11701490,1835,3007,,,,1696251083
11701491,3261,3893,,,,1696252320
11701492,3246,4144,1079,,,1696241637
11701493,3074,5423,1285,,,1696247454
11701494,2681,3754,,,,1696244564
11701495,2579,3633,744,,,1696240339
11701496,1724,2650,,,,1696256615
11701497,1923,1631,,,,1696236206
11701499,4507,3098,,,,1696248158
11701509,1979,1320,,,,1696239687
11701521,,,,,,
11701522,,,,,,
11701523,,,,,,
11701524,,,,,,
11701525,,,,,,
11701526,,,,,,
11701527,,,,,,
11701528,,,,,,
11701529,,,,,,
11701530,,,,,,
11701531,,,,,,
11701532,,,,,,
11701533,2838,3566,833,,,1696248239
11701534,1748,2537,,,,1696241654
11701535,1590,1593,,,,1696245098
11701536,2504,3388,,,,1696238524
11701537,4177,2941,,,,1696235069
11701538,3497,2692,1099,,,1696254317
11701539,1951,1824,,,,1696239186
